Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,49.28398905
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,105781.949
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,55617.389
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,19.32379692
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,211109.19
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,7.706705112
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,300.694
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,16.11981976
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,58822.347
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,66.3031734
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,22783.071
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,21.2798843
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,154083.673
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,59.24747493
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,2856.593
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,44.29490108
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,66361.699
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,50.46889066
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,843.41
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,28.81834801
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,14983.362
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,2.814556965
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,18514.683
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,46.54420922
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,X1963,109826.65
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,X1963,NA
