Country.Name,Country.Code,Indicator.Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural methane emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Forest area (% of land area)
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1993,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1994,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1995,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1996,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1997,0.01,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1998,0.021977138,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X1999,0.179634586,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2000,0.959755898,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2001,0.776536942,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2002,6.267393589,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2003,11.75196648,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2004,17.23631859,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2005,23,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2006,28.2286129,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2007,33.74868011,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2008,42.4,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2009,44.8548851,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2010,42.7,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2011,43.22201891,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2012,69.1,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2013,67.259552,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2014,89.5,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2015,71.5,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2016,84.13713837,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2017,NA,NA,NA,NA,NA
Afghanistan,AFG,EG.ELC.ACCS.ZS,X2018,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1960,NA,NA,NA,414.371,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1961,NA,NA,NA,491.378,NA
