"Country.Name","Country.Code","Indicator.Code","Year","Agricultural land (% of land area)","CO2 emissions (kt)","Forest area (% of land area)"
"Argentina","ARG","AG.LND.AGRI.ZS","X1996",46.8237177,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1997",46.85770036,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1998",46.89241383,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X1999",46.92237703,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2000",46.95818671,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2001",46.99326559,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2002",47.0312677,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2003",47.8254753,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2004",49.09032444,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2005",50.35188494,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2006",51.56009632,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2007",52.63036734,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2008",52.71367966,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2009",52.54230476,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2010",53.89028352,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2011",54.18260746,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2012",54.53814645,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2013",54.51804918,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2014",54.33571212,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2015",54.33571212,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2016",54.33571212,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2017",NA,NA,NA
"Argentina","ARG","AG.LND.AGRI.ZS","X2018",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1960",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1961",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1962",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1963",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1964",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1965",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1966",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1967",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1968",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1969",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1970",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1971",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1972",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1973",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1974",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1975",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1976",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1977",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1978",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1979",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1980",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1981",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1982",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1983",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1984",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1985",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1986",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1987",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1988",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1989",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X1990",NA,NA,12.7135335
"Argentina","ARG","AG.LND.FRST.ZS","X1991",NA,NA,12.60635995
"Argentina","ARG","AG.LND.FRST.ZS","X1992",NA,NA,12.4991864
"Argentina","ARG","AG.LND.FRST.ZS","X1993",NA,NA,12.39201428
"Argentina","ARG","AG.LND.FRST.ZS","X1994",NA,NA,12.28484073
"Argentina","ARG","AG.LND.FRST.ZS","X1995",NA,NA,12.17766718
"Argentina","ARG","AG.LND.FRST.ZS","X1996",NA,NA,12.07049363
"Argentina","ARG","AG.LND.FRST.ZS","X1997",NA,NA,11.9633208
"Argentina","ARG","AG.LND.FRST.ZS","X1998",NA,NA,11.85614725
"Argentina","ARG","AG.LND.FRST.ZS","X1999",NA,NA,11.74897441
"Argentina","ARG","AG.LND.FRST.ZS","X2000",NA,NA,11.64180086
"Argentina","ARG","AG.LND.FRST.ZS","X2001",NA,NA,11.51946301
